City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
187,Alugan,PH,2022-05-07 18:51:40,12.2188,125.4808,80.22,85,54,12.3
188,Buraydah,SA,2022-05-07 18:51:40,26.326,43.975,81.05,17,0,10.78
189,Nyanguge,TZ,2022-05-07 18:51:41,-2.55,33.2,71.15,74,43,3.74
190,Harper,LR,2022-05-07 18:51:41,4.375,-7.7169,81.46,79,100,8.61
191,Fernie,CA,2022-05-07 18:51:42,49.5,-115.0687,51.89,94,100,4.99
192,Upata,VE,2022-05-07 18:51:43,8.0086,-62.3989,84.2,77,100,4.05
193,Ust-Nera,RU,2022-05-07 18:51:43,64.5667,143.2,23.5,96,100,3.36
194,Belaya Gora,RU,2022-05-07 18:51:44,68.5333,146.4167,17.55,92,100,11.79
195,Yiyang,CN,2022-05-07 18:51:44,28.5892,112.3283,71.13,82,99,0.98
196,Geraldton,AU,2022-05-07 18:51:44,-28.7667,114.6,55.81,88,75,6.91
197,Prado,BR,2022-05-07 18:51:45,-17.3411,-39.2208,75.87,88,53,12.91
198,Sompeta,IN,2022-05-07 18:51:45,18.9333,84.6,80.44,86,27,4.18
199,Mason City,US,2022-05-07 18:51:25,43.1536,-93.201,71.33,31,0,16.11
200,Gamba,GA,2022-05-07 18:51:46,-2.65,10.0,77.32,85,48,2.21
201,Teahupoo,PF,2022-05-07 18:51:46,-17.8333,-149.2667,76.96,77,8,2.08
202,Saquarema,BR,2022-05-07 18:51:47,-22.92,-42.5103,77.04,78,19,10.11
203,Ambilobe,MG,2022-05-07 18:51:47,-13.2,49.05,73.76,86,28,4.97
204,Hovd,MN,2022-05-07 18:51:48,48.0056,91.6419,60.82,29,100,7.9
205,Havoysund,NO,2022-05-07 18:51:48,70.9963,24.6622,35.83,98,100,36.22
206,Tel Aviv-Yafo,IL,2022-05-07 18:51:49,32.0805,34.7805,66.38,75,0,2.3
207,Payo,ID,2022-05-07 18:51:49,-3.7508,103.6372,74.25,99,100,2.44
208,Takoradi,GH,2022-05-07 18:51:50,4.8845,-1.7554,81.5,79,100,5.99
209,Gunjur,GM,2022-05-07 18:51:50,13.2019,-16.7339,84.27,42,0,12.66
